Vertex,Degree,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,SCORE
ChrisTuckerFie1,-0.127275757,-0.077933902,-0.793280118,-0.329454512,-0.332829926
iM_Juz_Traviie,-0.127275757,-0.077933902,-0.793280118,-0.329454512,-0.332829926
DTialor,-0.127275757,-0.077933902,-0.793280118,-0.329454512,-0.332829926
BornaPrincess2,-0.127275757,-0.077933902,-0.793280118,-0.329454512,-0.332829926
ashata_creech,-0.127275757,-0.077933902,-0.793280118,-0.329454512,-0.332829926
Lexzie20,-0.127275757,-0.077933902,-0.793280118,-0.329454512,-0.332829926
ClamJam666,-0.127275757,-0.077933902,-0.793280118,-0.329454512,-0.332829926
trueblue115,-0.127275757,-0.077933902,-0.793280118,-0.329454512,-0.332829926
jonwhitlock,-0.127275757,-0.077933902,-0.793280118,-0.329454512,-0.332829926
tgloss55,-0.127275757,-0.077933902,-0.793280118,-0.329454512,-0.332829926
prudencio_serge,-0.127275757,-0.077933902,-0.793280118,-0.329454512,-0.332829926
GaryGai87057405,-0.127275757,-0.077933902,-0.793280118,-0.329454512,-0.332829926
C3Kenneth,-0.127275757,-0.077933902,-0.793280118,-0.329454512,-0.332829926
AP,-0.127275757,-0.077933902,-0.793280118,-0.329454512,-0.332829926
VeronicaGilchr4,-0.127275757,-0.077933902,-0.793280118,-0.329454512,-0.332829926
Kikuyukuyu,-0.127275757,-0.077933902,-0.793280118,-0.329454512,-0.332829926
tommyparker80s,-0.127275757,-0.077933902,-0.793280118,-0.329454512,-0.332829926
Aye_Seemone,-0.127275757,-0.077933902,-0.793280118,-0.329454512,-0.332829926
wawa1886,-0.127275757,-0.077933902,-0.794085,-0.329454512,-0.33309822
Dan82iiel,-0.127275757,-0.077933902,-0.794085,-0.329454512,-0.33309822
kleine_majo,-0.127275757,-0.077933902,-0.794085,-0.329454512,-0.33309822
Marv12299,-0.127275757,-0.077933902,-0.794085,-0.329454512,-0.33309822
GreatestofAlex,-0.127275757,-0.077933902,-0.794085,-0.329454512,-0.33309822
Sabrina46411408,-0.127275757,-0.077933902,-0.794085,-0.329454512,-0.33309822
MikeLS91,-0.127275757,-0.077933902,-0.794085,-0.329454512,-0.33309822
werdi99,-0.127275757,-0.077933902,-0.794085,-0.329454512,-0.33309822
arbeitskollege,-0.127275757,-0.077933902,-0.794085,-0.329454512,-0.33309822
DigitalM_M,-0.127275757,-0.077933902,-0.795097595,-0.329454512,-0.333435752
Fingrz692,-0.127275757,-0.077933902,-0.800809666,-0.329454512,-0.335339775
BmoreFAN69,-0.127275757,-0.077933902,-0.800809666,-0.329454512,-0.335339775
ChesapeakeDon,-0.127275757,-0.077933902,-0.800809666,-0.329454512,-0.335339775
Johnny_Fau17,-0.127275757,-0.077933902,-0.800809666,-0.329454512,-0.335339775
talkshiterature,-0.127275757,-0.077933902,-0.801406838,-0.329454512,-0.335538832
prettylauren12,-0.127275757,-0.077933902,-0.801900153,-0.329454512,-0.335703271
GilbertQ869,-0.127275757,-0.077933902,-0.801900153,-0.329454512,-0.335703271
avcnarrador,-0.127275757,-0.077933902,-0.80221172,-0.329454512,-0.335807127
Pantera_DB,-0.127275757,-0.077933902,-0.80221172,-0.329454512,-0.335807127
carolgraccia,-0.127275757,-0.077933902,-0.80221172,-0.329454512,-0.335807127
rui_mos,-0.127275757,-0.077933902,-0.80221172,-0.329454512,-0.335807127
Luiz_Menote,-0.127275757,-0.077933902,-0.80221172,-0.329454512,-0.335807127
lfernando86,-0.127275757,-0.077933902,-0.80221172,-0.329454512,-0.335807127
FightersFirst,-0.127275757,-0.077933902,-0.802367504,-0.329454512,-0.335859055
TheUWPod,-0.127275757,-0.077933902,-0.802367504,-0.329454512,-0.335859055
MainEvent_Marks,-0.127275757,-0.077933902,-0.802367504,-0.329454512,-0.335859055
BotSpotChrShots,-0.127275757,-0.077933902,-0.802367504,-0.329454512,-0.335859055
ramirez6605,-0.127275757,-0.077933902,-0.802367504,-0.329454512,-0.335859055
justagirl918,-0.127275757,-0.077933902,-0.802367504,-0.329454512,-0.335859055
