,tweet type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
0,RT,RamsHouse,300,214,1,7791,,,,ArashMarkazi,122863,2296,2935,103421,,,
1,RT,CDJ15894385,1444,5004,3,96479,,,,RamsNFL,1060485,512,6389,59603,,,
2,RT,pirker_josef,68,208,0,332,,,,KreeptoKiid,1147,3754,2,4586,,,
3,Tweet,KushlifeDFS,1193,4987,12,8242,,,,KushlifeDFS,1147,3754,2,4586,,,
4,Tweet,ShakiraPaye,2101,490,9,18504,,,,ShakiraPaye,1147,3754,2,4586,,,
5,RT,CincyFanZone,2118,1329,95,182697,,,,Bengals,1084742,248,6336,31051,,,
6,RT,Netito37,125,658,4,48290,,,,NBALatam,607199,507,913,60062,,,
7,RT,JimMcCann52,5,121,0,302,,,,WUTangKids,98481,943,291,6933,,,
8,RT,Hicks45J,485,1858,10,91663,,,,NFL,28642231,2722,50429,233789,,,
9,RT,ahj1968,830,4937,9,103925,,,,SNFonNBC,993035,2480,5415,79758,,,
10,Tweet,ExploitedMOX,120,758,1,176,,,,ExploitedMOX,993035,2480,5415,79758,,,
11,Tweet,NWardisiani,13,15,0,63,,,,NWardisiani,993035,2480,5415,79758,,,
12,RT,Crypto_Mr__Z_R,274,1276,6,118647,,,,SuperlativeDAO,1436,81,0,163,,,
13,Tweet,atcoolguydotcom,205,337,30,21362,,,,atcoolguydotcom,1436,81,0,163,,,
14,Tweet,G8tekeeper,2093,2600,75,80851,,,,G8tekeeper,1436,81,0,163,,,
15,Tweet,TMounphosay,1,16,0,29,,,,TMounphosay,1436,81,0,163,,,
16,Tweet,RtimeBd,166,823,3,3516,,,,RtimeBd,1436,81,0,163,,,
17,RT,gmoney1197,399,1517,2,39798,,,,Bengals,1084742,248,6336,31051,,,
18,Tweet,marcoknowsthat,54,50,0,163,,,,marcoknowsthat,1084742,248,6336,31051,,,
19,Tweet,SantinoCorleon,8578,1821,48,70868,,,,SantinoCorleon,1084742,248,6336,31051,,,
20,RT,R1a9y9j2,1149,5000,11,241641,,,,Bengalsmanic,1927,1652,15,10133,,,
21,RT,tedigreyowl,223,1001,12,21016,,,,ndnsports,15053,3727,102,23839,,,
22,Tweet,prescribeddrone,235,570,54,10825,,,,prescribeddrone,15053,3727,102,23839,,,
23,RT,jlspeakup,258,326,0,13910,,,,WUTangKids,98481,943,291,6933,,,
24,RT,ulianma,208,497,0,24916,,,,HolyRollerNFL,6007,1981,49,17397,,,
25,RT,mviemETH,309,377,0,2615,,,,HPPRSNFT,7955,39,28,6211,,,
26,RT,raging_rec,4,55,0,50,,,,Pickwatch,5077,1716,85,7685,,,
27,RT,krispykremie5,1683,1858,20,24428,,,,MattOverton_LS,69506,2413,309,34415,,,
28,RT,invictos_mx,2952,380,26,169924,,,,IvisAburto,1997,544,65,37809,,,
29,Tweet,JillJelnick,6258,1655,44,8167,,,,JillJelnick,1997,544,65,37809,,,
30,RT,UTLAkid,2,1,0,5,,,,billboard,13305326,3408,21402,288897,,,
31,RT,N0M0REHER0S,0,115,0,64,,,,LARams520,2601,1886,26,100222,,,
32,Tweet,NBALatam,607199,507,913,60062,,,,NBALatam,2601,1886,26,100222,,,
33,Tweet,DonAbelard0,57,82,2,9099,,,,DonAbelard0,2601,1886,26,100222,,,
34,Tweet,MykAussie,1409,1274,39,36747,,,,MykAussie,2601,1886,26,100222,,,
35,Tweet,JeffersonandCo,599,84,50,18293,,,,JeffersonandCo,2601,1886,26,100222,,,
36,RT,FurryFan01,80,713,0,27607,,,,aqueerwolf,2952,1241,14,28589,,,
37,Tweet,KAISERMON4,405,479,0,9223,,,,KAISERMON4,2952,1241,14,28589,,,
38,RT,Brisk88_,953,871,3,28978,,,,RamsNFL,1060485,512,6389,59603,,,
39,RT,One83600748,164,5000,17,16729,,,,BookOfShady,16814,138,60,101397,,,
40,Tweet,AllBarzAB,1171,2101,38,7341,,,,AllBarzAB,16814,138,60,101397,,,
41,RT,jgarrity27,678,3140,1,8329,,,,Jessicah909,144,449,4,9232,,,
42,RT,Mirdivey26,73,885,0,7985,,,,MVSNoticias,1852809,3083,6092,805498,,,
43,RT,wcpawsms,129,45,0,389,,,,WestCler,5420,685,35,10241,,,
44,Tweet,falaaiyuri,370,1128,10,79010,,,,falaaiyuri,5420,685,35,10241,,,
45,RT,coachkou,3951,4981,21,7619,,,,QBConfidential,5090,468,34,516,,,
46,RT,ItsmeGrigio,249,1089,3,7878,,,,NFL,28642231,2722,50429,233789,,,
47,RT,mhomho60,30,89,0,1930,,,,btvbets,4841,537,19,11207,,,
48,RT,THEBIGB78,93,476,0,1648,,,,WINCINNATI_,2619,980,5,215,,,
49,Tweet,JeromePandell,1906,4270,108,264645,,,,JeromePandell,2619,980,5,215,,,
50,Tweet,IvisAburto,1997,544,65,37809,,,,IvisAburto,2619,980,5,215,,,
51,RT,shelby_cham,534,471,1,8158,,,,WINCINNATI_,2619,980,5,215,,,
52,RT,Fredoh84,772,740,3,20351,,,,RamsNFL,1060485,512,6389,59603,,,
53,RT,Carr082,1,262,0,5411,,,,Reporte_Indigo,959058,710,5811,311333,,,
54,RT,BTV_BHo,1011,869,4,35479,,,,btvbets,4841,537,19,11207,,,
55,Tweet,dfsbachelor,6305,956,67,33058,,,,dfsbachelor,4841,537,19,11207,,,
56,Tweet,btvbets,4841,537,19,11207,,,,btvbets,4841,537,19,11207,,,
57,Tweet,BlackJackFltchr,8172,1970,88,6431,,,,BlackJackFltchr,4841,537,19,11207,,,
58,RT,Jon1Anthony,150,231,0,883,,,,Bengalsmanic,1927,1652,15,10133,,,
59,RT,I_Am_Stan,585,1444,8,28793,,,,MikeHilton_28,67786,1111,230,9176,,,
60,RT,_gabsXO,14,34,0,197,,,,SiteTheWeekndBR,48305,968,149,20279,,,
61,RT,catone_catone8,117,3172,0,6835,,,,Lets_getgoing25,150,396,1,5116,,,
62,Tweet,remy_03,15,73,0,3022,,,,remy_03,150,396,1,5116,,,
63,Tweet,DickSez,3942,140,123,5386,,,,DickSez,150,396,1,5116,,,
64,RT,jeannin57826820,346,983,2,142654,,,,WUTangKids,98481,943,291,6933,,,
65,Tweet,MVSNoticias,1852809,3083,6092,805498,,,,MVSNoticias,98481,943,291,6933,,,
66,RT,DorvilusFred,1072,5010,0,10190,,,,EvanKirstel,318454,280578,13114,1069913,,,
67,RT,jasonrstockwell,36,64,0,4138,,,,WUTangKids,98481,943,291,6933,,,
68,RT,richiewertz,260,327,0,17584,,,,WUTangKids,98481,943,291,6933,,,
69,Tweet,the_Gr8_Gonzo,623,650,3,5335,,,,the_Gr8_Gonzo,98481,943,291,6933,,,
70,RT,iamgion_gi,4768,5178,19,77915,,,,SiteTheWeekndBR,48305,968,149,20279,,,
71,Tweet,flaviocafe,1432,1011,19,9162,,,,flaviocafe,48305,968,149,20279,,,
72,RT,34inXXIII,2046,432,80,46218,,,,OhioBrian,2452,3579,71,44673,,,
73,RT,MarkCannizzaro,9712,1964,364,15974,,,,LRubinson,5121,1098,89,34083,,,
74,RT,morolswediu,2894,3,69,1013961,,,,Financial_Free5,382,561,3,6919,,,
75,RT,RileyWritts,6115,1115,20,155989,,,,WUTangKids,98481,943,291,6933,,,
76,RT,JJoyceManuelly,198,866,0,9262,,,,SiteTheWeekndBR,48305,968,149,20279,,,
77,RT,SnP_Hype,432,401,5,40321,,,,RamsNFL,1060485,512,6389,59603,,,
78,RT,prescott_heidi,309,567,0,518,,,,StateHealthIN,38828,1022,400,19719,,,
79,Tweet,tiareAyako,54,200,2,1296,,,,tiareAyako,38828,1022,400,19719,,,
80,RT,MondBurner,340,668,3,4500,,,,7thGypsy,4075,4379,63,110098,,,
81,RT,ArthurBauer37,210,1540,0,3346,,,,Bengals,1084742,248,6336,31051,,,
82,RT,100daysofcoders,3151,1,13,33047,,,,Financial_Free5,382,561,3,6919,,,
83,RT,TheDeveloperBot,5255,1,68,1180584,,,,Financial_Free5,382,561,3,6919,,,
84,RT,SamSinclair96,2626,277,21,72034,,,,SNFonNBC,993035,2480,5415,79758,,,
85,Tweet,Financial_Free5,382,561,3,6919,,,,Financial_Free5,993035,2480,5415,79758,,,
86,Tweet,feraluniverse,424,1298,2,7381,,,,feraluniverse,993035,2480,5415,79758,,,
87,RT,Jiddy7,670,4996,0,90439,,,,WUTangKids,98481,943,291,6933,,,
88,RT,lovingSD1985,67,521,0,656,,,,Trags,18584,2715,804,121400,,,
89,Tweet,therealscooter6,1418,4186,7,53666,,,,therealscooter6,18584,2715,804,121400,,,
90,Tweet,Mary_Hammons_M,1083,1287,0,532,,,,Mary_Hammons_M,18584,2715,804,121400,,,
91,RT,TGoodstocks,403,2320,2,16479,,,,InventionQueen,2800,3730,98,21428,,,
92,Tweet,jckffallday,2,14,0,59,,,,jckffallday,2800,3730,98,21428,,,
93,Tweet,EricAversa,15,32,0,27,,,,EricAversa,2800,3730,98,21428,,,
94,RT,carsonstephen14,157,209,0,3190,,,,Bengals,1084742,248,6336,31051,,,
95,RT,Alysont57785369,3,113,0,6769,,,,Bengalsmanic,1927,1652,15,10133,,,
96,RT,GypsyFader504,277,3152,1,3724,,,,WUTangKids,98481,943,291,6933,,,
97,Tweet,cheezwebBro,0,4,0,106,,,,cheezwebBro,98481,943,291,6933,,,
98,RT,MAYCON_cjk,41,756,0,2302,,,,SiteTheWeekndBR,48305,968,149,20279,,,
99,RT,g74459419,318,951,1,5763,,,,bjkingape,13505,3259,661,31056,,,
100,RT,FIToday_,9678,9172,12,32109,,,,SportsTimeHQ,1949,1936,7,21592,,,
101,Tweet,Arlene__Guzman,38,123,0,66,,,,Arlene__Guzman,1949,1936,7,21592,,,
102,Tweet,cheezwebBro,0,4,0,106,,,,cheezwebBro,1949,1936,7,21592,,,
103,Tweet,BrandingInAsia,3188,792,99,9315,,,,BrandingInAsia,1949,1936,7,21592,,,
104,RT,KoreanSAMCRO,271,1575,4,55120,,,,mdmurphyla,1005,1021,8,13594,,,
105,Tweet,exhoopsPRguy,6534,5778,256,126597,,,,exhoopsPRguy,1005,1021,8,13594,,,
106,Tweet,rdotdhillon,9,284,0,1374,,,,rdotdhillon,1005,1021,8,13594,,,
107,Tweet,tarequelaskar,2343,708,66,111043,,,,tarequelaskar,1005,1021,8,13594,,,
108,Tweet,CaseyInCMH,86,280,1,2835,,,,CaseyInCMH,1005,1021,8,13594,,,
109,RT,SentientInsight,2774,2785,186,7942,,,,Adweek,678977,26475,16291,132154,,,
110,RT,ravage619,24,72,0,2764,,,,WUTangKids,98481,943,291,6933,,,
111,RT,PhilipKokosnuss,154,346,4,1106,,,,SuperlativeDAO,1436,81,0,163,,,
112,Tweet,SaraBulhoes,50,120,0,893,,,,SaraBulhoes,1436,81,0,163,,,
113,RT,ObriensIrishPub,585,522,17,507,,,,misterobb,497,1897,18,7998,,,
114,RT,mrtns_xo,410,347,1,4786,,,,SiteTheWeekndBR,48305,968,149,20279,,,
115,Tweet,EricAversa,15,32,0,27,,,,EricAversa,48305,968,149,20279,,,
116,RT,Monster__14,2375,2486,27,122704,,,,gagadaily,515269,17349,3427,19411,,,
117,Tweet,danielzachary97,780,841,2,16331,,,,danielzachary97,515269,17349,3427,19411,,,
118,Tweet,SportsTimeHQ,1949,1936,7,21592,,,,SportsTimeHQ,515269,17349,3427,19411,,,
119,RT,T_runner1,105,412,0,2772,,,,Bengalsmanic,1927,1652,15,10133,,,
120,Tweet,jimb16149,1157,999,9,433,,,,jimb16149,1927,1652,15,10133,,,
121,Tweet,_KillaKali_,680,527,11,36764,,,,_KillaKali_,1927,1652,15,10133,,,
122,RT,fishtrenado,1290,5002,72,833469,,,,SNFonNBC,993035,2480,5415,79758,,,
123,RT,danielzachary97,780,841,2,16331,,,,QBConfidential,5090,468,34,516,,,
124,RT,jkeeter,475,1321,21,4608,,,,WUTangKids,98481,943,291,6933,,,
125,RT,21little_garza,949,1779,1,38725,,,,Bengals,1084742,248,6336,31051,,,
126,RT,girochasl,2042,1259,2,66877,,,,mdmurphyla,1005,1021,8,13594,,,
127,Tweet,QBConfidential,5090,468,34,516,,,,QBConfidential,1005,1021,8,13594,,,
128,RT,Judge99_SZN,668,1448,1,28560,,,,ThaLARampage10,161,576,2,1582,,,
129,RT,8NewsNow,255073,1740,1698,213978,,,,KevaneyMartin,12243,999,57,9055,,,
130,Tweet,sauerssurfs,3,28,0,3,,,,sauerssurfs,12243,999,57,9055,,,
131,RT,ChrisHelmers_00,718,629,1,10460,,,,Bengals,1084742,248,6336,31051,,,
132,RT,NoelleLatoya,206,381,1,19470,,,,BookOfShady,16814,138,60,101397,,,
133,Tweet,ThePodcastGuy9,19,59,0,427,,,,ThePodcastGuy9,16814,138,60,101397,,,
134,Tweet,overheated98,42,754,0,1115,,,,overheated98,16814,138,60,101397,,,
135,Tweet,evana_unniverse,430,336,1,737,,,,evana_unniverse,16814,138,60,101397,,,
136,Tweet,Kryssongz,31016,34124,61,165187,,,,Kryssongz,16814,138,60,101397,,,
137,Tweet,OhioBrian,2452,3579,71,44673,,,,OhioBrian,16814,138,60,101397,,,
138,RT,TheeMrHollywood,366,46,1,2193,,,,RamsNFL,1060485,512,6389,59603,,,
139,RT,BigDan82,92,448,1,2415,,,,Bengalsmanic,1927,1652,15,10133,,,
140,RT,phantomfromla,461,877,1,12461,,,,SiteTheWeekndBR,48305,968,149,20279,,,
141,Tweet,BetUSofA,1,25,0,1,,,,BetUSofA,48305,968,149,20279,,,
142,Tweet,MD10Chris,629,459,22,48694,,,,MD10Chris,48305,968,149,20279,,,
143,RT,bballprof,105,966,2,9626,,,,peter_king,1794634,923,21040,44239,,,
144,RT,g74459419,318,951,1,5763,,,,Q107Toronto,21759,145,345,72753,,,
145,RT,RyanIsDey,341,694,0,18041,,,,Mike_Daniels76,92724,1577,535,9660,,,
146,RT,WhoDeyDrummer,5,46,0,4,,,,SNFonNBC,993035,2480,5415,79758,,,
147,RT,pickfasal,75,1009,1,1689,,,,SuperlativeDAO,1436,81,0,163,,,
148,Tweet,ChariPeko,153,153,3,2451,,,,ChariPeko,1436,81,0,163,,,
149,RT,WhoDeyDrummer,5,46,0,4,,,,SNFonNBC,993035,2480,5415,79758,,,
150,Tweet,KJohnson_2881,736,4421,0,12424,,,,KJohnson_2881,993035,2480,5415,79758,,,
151,RT,Judge99_SZN,668,1448,1,28560,,,,RamsNFL,1060485,512,6389,59603,,,
152,Tweet,NacionFantasyMx,1461,693,19,4913,,,,NacionFantasyMx,1060485,512,6389,59603,,,
153,RT,fulmer_drew,427,526,3,4059,,,,Bengals,1084742,248,6336,31051,,,
154,RT,mamajamag,257,301,0,452,,,,LARams520,2601,1886,26,100222,,,
155,Tweet,RustedMecha,562,77,55,35416,,,,RustedMecha,2601,1886,26,100222,,,
156,Tweet,PeteyWeeStro,758,1062,10,42366,,,,PeteyWeeStro,2601,1886,26,100222,,,
157,RT,topfanscorner,4612,4423,8,358097,,,,MMBSports,422,1684,7,60013,,,
158,Tweet,ryanok808,825,553,7,9230,,,,ryanok808,422,1684,7,60013,,,
159,RT,EdinburghWatch,13418,1,2359,1742767,,,,Scottgibb1,706,1156,23,31105,,,
160,Tweet,MattStaffordQB1,981,234,4,73414,,,,MattStaffordQB1,706,1156,23,31105,,,
161,RT,_dressa3,61,208,0,771,,,,SiteTheWeekndBR,48305,968,149,20279,,,
162,RT,topfanscorner,4612,4423,8,358097,,,,MMBSports,422,1684,7,60013,,,
163,Tweet,suhailsaqan,189,572,2,786,,,,suhailsaqan,422,1684,7,60013,,,
164,RT,barkflight,12323,9191,407,306822,,,,KevaneyMartin,12243,999,57,9055,,,
165,RT,mr357travelingQ,146,721,2,3601,,,,NFL,28642232,2722,50429,233789,,,
166,RT,treslechesess,587,577,0,30467,,,,SNFonNBC,993035,2480,5415,79758,,,
167,RT,Ix_Nuk3m_xI,539,2018,3,37221,,,,WUTangKids,98481,943,291,6933,,,
168,RT,bonneaupascal,105,3357,2,21543,,,,NFLFrance,20866,200,100,21659,,,
169,RT,Phillipdrphl,1028,4914,15,143549,,,,Big6domino,2511,3036,95,150322,,,
170,RT,gweIIsoons,609,664,1,7930,,,,SiteTheWeekndBR,48305,968,149,20279,,,
171,RT,dcfilmninja,638,652,29,45377,,,,RamsNFL,1060485,512,6389,59603,,,
172,RT,Dennisr58071648,63,484,0,1438,,,,LSUfootball,873902,583,2264,28236,,,
173,Tweet,brooklyngaucho1,193,206,1,7006,,,,brooklyngaucho1,873902,583,2264,28236,,,
174,Tweet,Vanessajames022,6,9,0,8,,,,Vanessajames022,873902,583,2264,28236,,,
175,Tweet,mindminer,13,153,1,74,,,,mindminer,873902,583,2264,28236,,,
176,Tweet,201Pride,32,502,0,15710,,,,201Pride,873902,583,2264,28236,,,
177,RT,youngcongo,1028,457,69,250807,,,,SNFonNBC,993035,2480,5415,79758,,,
178,RT,CaesarsSports,36355,81,222,5425,,,,RichEisenShow,99070,1446,811,33765,,,
179,RT,2_duchess,1004,3279,2,10211,,,,JanoMars718,140,532,3,370,,,
180,Tweet,RickUcchino,2360,1835,28,29513,,,,RickUcchino,140,532,3,370,,,
181,Tweet,Scottgibb1,706,1156,23,31105,,,,Scottgibb1,140,532,3,370,,,
182,Tweet,JanoMars718,140,532,3,370,,,,JanoMars718,140,532,3,370,,,
183,RT,lakasfan24,214,529,2,12768,,,,sec300sports,271,402,1,1809,,,
184,Tweet,Baron3121,9156,924,85,60931,,,,Baron3121,271,402,1,1809,,,
185,RT,BenScottStevens,3874,985,42,13523,,,,SportsGrid,27144,1415,623,79709,,,
186,Tweet,CloneDaddy1,1458,1568,43,130151,,,,CloneDaddy1,27144,1415,623,79709,,,
187,Tweet,MattStaffordQB1,981,234,4,73414,,,,MattStaffordQB1,27144,1415,623,79709,,,
188,RT,FarrarLoren,4,151,0,15,,,,PaniniAmerica,205223,6090,684,35506,,,
189,Tweet,RonnieMoas,36730,341,886,18161,,,,RonnieMoas,205223,6090,684,35506,,,
190,RT,Voltagedropp_,669,4053,10,15213,,,,ThinkingCrypto1,80342,2099,494,22951,,,
191,RT,ZenMOB100,178,117,4,25440,,,,RamsNFL,1060485,512,6389,59603,,,
192,RT,MaGiC_CiTy_305,104,564,2,1367,,,,SNFonNBC,993035,2480,5415,79758,,,
193,RT,Zeals30864201,1224,2478,4,44862,,,,Richard841,487,815,3,34196,,,
194,RT,Lewisleticia33,3437,3,2,10598,,,,KevaneyMartin,12243,999,57,9055,,,
195,RT,nicholas_earle,350,386,12,2993,,,,CobyValentine,10604,86,144,43432,,,
196,RT,ilovetitsXO,47,105,0,379,,,,SiteTheWeekndBR,48305,968,149,20279,,,
197,RT,countryguy1986,7,105,0,92,,,,Bengalsmanic,1927,1652,15,10133,,,
198,RT,StephNicoleKay,22,104,0,47,,,,Bengals,1084742,248,6336,31051,,,
199,RT,mikedthe1,726,632,6,28240,,,,Bengalsmanic,1927,1652,15,10133,,,
200,Tweet,OSheasBKK,514,229,3,1704,,,,OSheasBKK,1927,1652,15,10133,,,
201,Tweet,Baron3121,9156,924,85,60931,,,,Baron3121,1927,1652,15,10133,,,
202,RT,5bulletbob,74,592,1,2726,,,,Bengals,1084742,248,6336,31051,,,
203,RT,Crunk_Ratchet,913,750,22,221773,,,,SNFonNBC,993035,2480,5415,79758,,,
204,Tweet,KevaneyMartin,12243,999,57,9055,,,,KevaneyMartin,993035,2480,5415,79758,,,
205,RT,bluezed2003,2774,590,95,169237,,,,SNFonNBC,993035,2480,5415,79758,,,
206,Tweet,overheated98,42,754,0,1115,,,,overheated98,993035,2480,5415,79758,,,
207,RT,DeRace_Canada,2161,431,4,7435,,,,CroHodler,3872,224,2,1583,,,
208,Tweet,DocteurSerie,1096,667,12,7765,,,,DocteurSerie,3872,224,2,1583,,,
209,RT,RampageNFL,16853,205,365,7100,,,,mdmurphyla,1005,1021,8,13594,,,
210,RT,MattStaffordQB1,981,234,4,73414,,,,BroginiAlessio,86,326,1,10585,,,
211,RT,topfanscorner,4612,4423,8,358097,,,,MMBSports,422,1684,7,60013,,,
212,Tweet,DavidJo01230186,18,54,0,294,,,,DavidJo01230186,422,1684,7,60013,,,
213,RT,bluezed2003,2774,590,95,169237,,,,SNFonNBC,993035,2480,5415,79758,,,
214,RT,MattStaffordQB1,981,234,4,73414,,,,crazzypickers,2289,4268,40,3265,,,
215,RT,topfanscorner,4612,4423,8,358097,,,,MMBSports,422,1684,7,60013,,,
216,RT,DESPORTSBLITZ,360,560,4,17691,,,,DelawareFB,25226,413,116,7067,,,
217,RT,75xlh72,261,5001,20,30736,,,,MikeHilton_28,67786,1111,230,9176,,,
218,Tweet,BTSSportsGuru,8,166,0,151,,,,BTSSportsGuru,67786,1111,230,9176,,,
219,RT,wish_eth,362,395,4,2290,,,,crypto_brewer,1881,4704,8,5259,,,
220,RT,2_duchess,1004,3279,2,10211,,,,JanoMars718,140,532,3,370,,,
221,RT,whhhit13,1288,4997,3,20329,,,,Bengals,1084742,248,6336,31051,,,
222,RT,DESPORTSBLITZ,360,560,4,17691,,,,DelawareFB,25226,413,116,7067,,,
223,RT,yollielove,1,25,0,122,,,,WSDwellers,2503,310,8,290,,,
224,RT,JRel99MOB,102,465,0,2093,,,,veronicaxxxooo,838,680,13,9785,,,
225,RT,MattStaffordQB1,981,234,4,73414,,,,DatsonOf2,74,244,0,476,,,
226,RT,Lewisleticia33,3437,3,2,10598,,,,mdmurphyla,1005,1021,8,13594,,,
227,RT,yollielove,1,25,0,122,,,,WSDwellers,2503,310,8,290,,,
228,RT,BennyMacBlog,413,608,1,25835,,,,peter_king,1794634,923,21040,44239,,,
229,RT,tgtrojan,268,311,18,22323,,,,ericsgeller,750,1071,27,11023,,,
230,RT,The_Tomtorr,29,277,0,968,,,,Bengals,1084742,248,6336,31051,,,
231,RT,DRecEdits,1684,1426,4,9368,,,,TMSMpodcast,3722,3256,11,16072,,,
232,Tweet,GarGonRos,64,870,0,208,,,,GarGonRos,3722,3256,11,16072,,,
233,RT,DadMinnesota,54,27,0,1185,,,,GrumGuy,43,15,0,1243,,,
234,RT,Jdeezy_21,564,1911,2,1321,,,,HPPRSNFT,7955,39,28,6211,,,
235,Tweet,j355i3,180,171,2,9758,,,,j355i3,7955,39,28,6211,,,
236,RT,ThomasKurniady,2560,832,38,28305,,,,RamsNFL,1060485,512,6389,59603,,,
237,RT,jcrvazquez,107,338,0,68997,,,,SNFonNBC,993035,2480,5415,79758,,,
238,RT,MajinBuusha,488,1391,2,23360,,,,RichEisenShow,99070,1446,811,33765,,,
239,Tweet,ThomasE_Kearney,1878,4956,0,27467,,,,ThomasE_Kearney,99070,1446,811,33765,,,
240,RT,athosvante,1381,1324,13,92578,,,,SiteTheWeekndBR,48305,968,149,20279,,,
241,Tweet,OftenWitty,888,959,23,1314,,,,OftenWitty,48305,968,149,20279,,,
242,RT,JonNiceLaShay,829,859,1,17407,,,,Bengals,1084742,248,6336,31051,,,
243,RT,Moai_Island,1274,1875,15,5716,,,,MutantMiners,1292,613,4,602,,,
244,Tweet,mdmurphyla,1005,1021,8,13594,,,,mdmurphyla,1292,613,4,602,,,
245,Tweet,GrumGuy,43,15,0,1243,,,,GrumGuy,1292,613,4,602,,,
246,RT,notkristenbelI,76,39,0,42,,,,jcav_8,3390,1944,15,6126,,,
247,RT,jcrvazquez,107,338,0,68997,,,,SNFonNBC,993035,2480,5415,79758,,,
248,RT,JuicyJake_,439,252,2,9565,,,,peter_king,1794634,923,21040,44239,,,
249,Tweet,charipekorin,205,276,4,19603,,,,charipekorin,1794634,923,21040,44239,,,
250,Tweet,FilterlessFnF,16,41,0,528,,,,FilterlessFnF,1794634,923,21040,44239,,,
251,RT,YourCryptoFeed,352,86,3,9824,,,,decryptmedia,95997,1565,1798,28052,,,
252,Tweet,Kev_Emo,1017,293,25,33990,,,,Kev_Emo,95997,1565,1798,28052,,,
253,RT,GrowlinBengals,480,504,4,2886,,,,Bengalsmanic,1927,1652,15,10133,,,
254,RT,GorneyKyle,47,299,0,1555,,,,FamDividedPod,820,592,4,11049,,,
255,RT,YungRey23,527,380,0,5559,,,,ThaLARampage10,161,576,2,1582,,,
256,RT,PhilJonesNFL,8589,6665,59,99559,,,,TMSMpodcast,3722,3256,11,16072,,,
257,RT,TLegix,408,354,3,13972,,,,peter_king,1794634,923,21040,44239,,,
258,RT,JustinArnett22,313,226,0,5613,,,,WINCINNATI_,2619,980,5,215,,,
259,Tweet,haskell420,480,914,7,74963,,,,haskell420,2619,980,5,215,,,
260,RT,dmiller0626,508,1867,0,1184,,,,north_cards,1298,1636,2,1671,,,
261,RT,dmiller0626,508,1867,0,1184,,,,north_cards,1298,1636,2,1671,,,
262,RT,RetherXul,167,465,2,1116,,,,JbrVisuals,1858,2778,6,2286,,,
263,Tweet,averydmerrick,590,1459,33,231171,,,,averydmerrick,1858,2778,6,2286,,,
264,Tweet,bizzebee_08,284,781,0,1650,,,,bizzebee_08,1858,2778,6,2286,,,
265,RT,Paloo0te,144,482,1,970,,,,PICKEM_WARS,1204,2214,3,510,,,
266,Tweet,ulisesharada,12639,766,217,73546,,,,ulisesharada,1204,2214,3,510,,,
267,Tweet,kayo_vinic1us,1025,532,20,72245,,,,kayo_vinic1us,1204,2214,3,510,,,
268,RT,JatedKris,8,219,0,16,,,,TheGameDayNFL,14489,234,62,15445,,,
269,Tweet,AZSports,63617,476,921,138071,,,,AZSports,14489,234,62,15445,,,
270,Tweet,ml_motoyawata,277,309,4,4138,,,,ml_motoyawata,14489,234,62,15445,,,
271,Tweet,Chris_Renkel,2163,1043,41,19414,,,,Chris_Renkel,14489,234,62,15445,,,
272,RT,gbpack82,3208,4843,9,34112,,,,Mike_Daniels76,92724,1577,535,9660,,,
273,RT,DRustyCabbage,161,552,16,15537,,,,7thGypsy,4075,4379,63,110098,,,
274,RT,DahlonegaMurray,243,368,0,3454,,,,Bengals,1084742,248,6336,31051,,,
275,RT,Flapjack92,9982,4834,106,60667,,,,MooseBeSocial,1365,1981,23,10622,,,
276,RT,BrendanKutyNJ,27307,1635,842,39063,,,,LRubinson,5121,1098,89,34083,,,
277,RT,PNWGamingDude,9,46,0,795,,,,JerryAzumah,28656,337,629,816,,,
278,Tweet,HiSportsTV,1517,98,2,952,,,,HiSportsTV,28656,337,629,816,,,
279,RT,maddole,206,839,5,7799,,,,FinanceCat_,194,207,0,342,,,
280,Tweet,ChristopherD11,1080,3195,45,36392,,,,ChristopherD11,194,207,0,342,,,
281,RT,jared_thacker,312,663,2,34481,,,,Bengalsmanic,1927,1652,15,10133,,,
282,RT,UnofficialBoys,6,38,0,416,,,,SNFonNBC,993035,2480,5415,79758,,,
283,Tweet,TheStarSydney,4770,841,65,2846,,,,TheStarSydney,993035,2480,5415,79758,,,
284,Tweet,TheSachaFierce,1051,1044,48,2074,,,,TheSachaFierce,993035,2480,5415,79758,,,
285,Tweet,OEL_Butcher,3,6,0,160,,,,OEL_Butcher,993035,2480,5415,79758,,,
286,RT,iam_iicysoulz92,849,761,3,35258,,,,eggz3302,278,262,3,439,,,
287,RT,r_okid,32,335,2,4167,,,,r_okid,32,335,2,4167,,,
288,Tweet,r_okid,32,335,2,4167,,,,r_okid,32,335,2,4167,,,
289,Tweet,SimasRealEstate,10966,4793,270,20184,,,,SimasRealEstate,32,335,2,4167,,,
290,RT,witnessnat,7458,1307,70,411111,,,,desireemurphy_,3511,1118,63,15727,,,
291,RT,Rising13Phoenix,164,273,1,8367,,,,WINCINNATI_,2619,980,5,215,,,
292,RT,gosquad22,2739,0,39,228607,,,,Eddiev79541326,148,286,0,367,,,
