,tweet type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
2605,RT,RichYahner,4797,512,7,798,,,,DelawareFB,25226,413,116,7067,,,
2606,RT,Tom_Weseli,312,1110,2,6813,,,,WINCINNATI_,2619,980,5,215,,,
2607,RT,T_runner1,105,412,0,2772,,,,WINCINNATI_,2619,980,5,215,,,
2608,RT,ryan_coey,56,2195,1,648,,,,Bengals,1084744,248,6336,31051,,,
2609,RT,PsyCROKitty,1824,811,4,3240,,,,crypto_spiders,5231,5108,22,3440,,,
2610,RT,YairEnrriqueMe1,1587,4997,2,12663,,,,Almomento4T,13384,9273,32,10751,,,
2611,RT,RichYahner,4797,512,7,798,,,,DelawareFB,25226,413,116,7067,,,
2612,Tweet,ajgold20,190,1148,2,5646,,,,ajgold20,25226,413,116,7067,,,
2613,RT,dianabechini93,2248,2259,7,646492,,,,RhythmNationUSA,1190,754,6,12214,,,
2614,Tweet,MountStJosephU,5322,934,76,8976,,,,MountStJosephU,1190,754,6,12214,,,
2615,RT,ArranzBrenda,137,267,0,724,,,,Almomento4T,13384,9273,32,10751,,,
2616,RT,SkyRTRblxBot,5197,763,17,830969,,,,fshot_media,63,103,0,138,,,
2617,RT,gartszn,275,1210,0,2406,,,,TFatbeard,208,285,0,2238,,,
2618,Tweet,LAFanNorCal,404,653,7,9599,,,,LAFanNorCal,208,285,0,2238,,,
2619,Tweet,stevenww,9,75,0,453,,,,stevenww,208,285,0,2238,,,
2620,RT,Buddylee_23,174,680,0,2257,,,,DelawareFB,25226,413,116,7067,,,
2621,RT,johnnymaffei45,546,1659,23,9992,,,,OJintheMorning,30,40,0,116,,,
2622,Tweet,Wh1sper_Will0w,219,417,3,1109,,,,Wh1sper_Will0w,30,40,0,116,,,
2623,Tweet,inamajorway,167,229,2,547,,,,inamajorway,30,40,0,116,,,
2624,Tweet,5who1deyy3,61,216,0,3908,,,,5who1deyy3,30,40,0,116,,,
2625,RT,Fgx58599010,11,178,1,794,,,,RealShibaDoge,24623,14,15,284,,,
2626,Tweet,WatchTheBreaks,33032,9726,301,490600,,,,WatchTheBreaks,24623,14,15,284,,,
2627,RT,NellUncle,556,1526,1,12414,,,,WINCINNATI_,2619,980,5,215,,,
2628,RT,Flxrp1Flxrp,55,134,1,3201,,,,SNFonNBC,993037,2480,5415,79758,,,
2629,Tweet,Almomento4T,13384,9273,32,10751,,,,Almomento4T,993037,2480,5415,79758,,,
2630,RT,lynnransdell,139,180,2,1016,,,,Bengals,1084744,248,6336,31051,,,
2631,Tweet,OJintheMorning,30,40,0,116,,,,OJintheMorning,1084744,248,6336,31051,,,
2632,RT,JVSmooth42,91,262,0,113007,,,,WUTangKids,98482,943,291,6933,,,
2633,RT,SkippyVan19,63,320,1,1707,,,,EvilJoeyVotto,28565,14577,96,17018,,,
2634,Tweet,WWalkerWW,2051,5001,184,103186,,,,WWalkerWW,28565,14577,96,17018,,,
2635,RT,betto23weed,104,453,0,948,,,,vivo_NFL,4031,404,35,32472,,,
2636,Tweet,UkeeTube,1517,1060,52,9765,,,,UkeeTube,4031,404,35,32472,,,
2637,RT,j_squawk,4883,3704,6,6442,,,,eggz3302,278,262,3,439,,,
2638,RT,ramirez6605,653,298,0,24627,,,,CageIq,2857,4842,5,1513,,,
2639,RT,bbaughn19,123,476,1,10788,,,,SNFonNBC,993037,2480,5415,79758,,,
2640,RT,DaliRama71,1504,2722,4,13947,,,,WillramWallace,2340,890,37,41304,,,
2641,RT,T_runner1,105,412,0,2772,,,,SNFonNBC,993037,2480,5415,79758,,,
2642,RT,GrantLohmeier,110,144,0,91,,,,WINCINNATI_,2619,980,5,215,,,
2643,Tweet,Nfl_Srg,4,68,0,96,,,,Nfl_Srg,2619,980,5,215,,,
2644,Tweet,eggz3302,278,262,3,439,,,,eggz3302,2619,980,5,215,,,
2645,RT,b__brinks,22,176,0,476,,,,jcav_8,3390,1944,15,6126,,,
2646,RT,Flxrp1Flxrp,55,134,1,3201,,,,RamsNFL,1060486,512,6389,59603,,,
2647,RT,Crunk_Ratchet,913,750,22,221773,,,,SNFonNBC,993037,2480,5415,79758,,,
2648,Tweet,MichaudScott,491,610,13,16680,,,,MichaudScott,993037,2480,5415,79758,,,
2649,Tweet,TwoToneStallone,35,92,0,59,,,,TwoToneStallone,993037,2480,5415,79758,,,
2650,RT,JBtheCape,768,1357,18,55200,,,,WUTangKids,98482,943,291,6933,,,
2651,RT,topfanscorner,4612,4423,8,358098,,,,MMBSports,422,1684,7,60013,,,
2652,RT,justagirl918,492,1095,2,6669,,,,CageIq,2857,4842,5,1513,,,
2653,RT,LReWH1,788,1398,0,37853,,,,WUTangKids,98482,943,291,6933,,,
2654,RT,Jota19641,5667,5747,0,9959,,,,joana_ofcll,534,13,1,21,,,
2655,Tweet,FranFifteen,1960,1825,38,29779,,,,FranFifteen,534,13,1,21,,,
2656,RT,KurtWhi76271815,1027,3674,2,48094,,,,RamsNFL,1060486,512,6389,59603,,,
2657,Tweet,EstebinGarcia,305,92,2,602,,,,EstebinGarcia,1060486,512,6389,59603,,,
2658,Tweet,BjorneDigital,452,428,1,3596,,,,BjorneDigital,1060486,512,6389,59603,,,
2659,Tweet,radioonthetony,3032,2174,56,48115,,,,radioonthetony,1060486,512,6389,59603,,,
2660,RT,Proud_Dad_89,13,147,0,176,,,,RamsNFL,1060486,512,6389,59603,,,
2661,RT,TyreeLHolland,806,2992,2,4314,,,,Tommieharris90,49622,22680,331,5514,,,
2662,RT,JohnnieLJ,264,1861,16,21157,,,,WUTangKids,98482,943,291,6933,,,
2663,Tweet,KevinWitte_10,412,1811,1,3783,,,,KevinWitte_10,98482,943,291,6933,,,
2664,RT,Champs13,909,864,9,511586,,,,RamsNFL,1060486,512,6389,59603,,,
2665,RT,truthseeker281,47,1513,2,2058,,,,RamsNFL,1060486,512,6389,59603,,,
2666,RT,JayCoburn816,1338,1103,64,154704,,,,NoEnemiesLeft,625,923,4,4006,,,
2667,RT,StnedToTheBone,305,313,0,3460,,,,RamsNFL,1060486,512,6389,59603,,,
2668,RT,icebIinksucc,154,205,0,2918,,,,WUTangKids,98482,943,291,6933,,,
2669,Tweet,howiemationg,701,4987,12,21305,,,,howiemationg,98482,943,291,6933,,,
2670,Tweet,max_webs,384,398,2,2864,,,,max_webs,98482,943,291,6933,,,
2671,RT,Pottspans85,296,780,2,8754,,,,DelawareFB,25226,413,116,7067,,,
2672,Tweet,TheCoster,502,1421,44,48604,,,,TheCoster,25226,413,116,7067,,,
2673,Tweet,ivalperzseg7,0,29,0,4,,,,ivalperzseg7,25226,413,116,7067,,,
2674,RT,kurts_c,776,1624,3,5714,,,,JJSn0w,69,460,1,968,,,
2675,Tweet,SuavA,1620,180,19,38678,,,,SuavA,69,460,1,968,,,
2676,RT,DancingInfinit1,182,188,2,14049,,,,ShadyTimes,21508,222,37,21499,,,
2677,Tweet,Anarcorvopunk77,122,79,0,46812,,,,Anarcorvopunk77,21508,222,37,21499,,,
2678,RT,SirBoywonder513,1449,3359,1,13992,,,,TickPick,74830,1760,74,18665,,,
2679,RT,maria_kleinn,405,509,1,15695,,,,WINCINNATI_,2619,980,5,215,,,
2680,RT,m_angel11,85,541,0,1630,,,,TFatbeard,208,285,0,2238,,,
2681,RT,DennisUltima,2114,2147,24,372172,,,,KKinnett,1548,856,80,125614,,,
2682,RT,kevinareco20,466,424,15,233890,,,,SNFonNBC,993037,2480,5415,79758,,,
2683,RT,Aldebarans_Tear,395,1819,5,2415,,,,SuperlativeDAO,1436,81,0,163,,,
2684,RT,ferrousxy,353,1247,0,6403,,,,7thGypsy,4075,4379,63,110098,,,
2685,RT,ThomasShelbysG,84,234,0,4494,,,,Bengals,1084744,248,6336,31051,,,
2686,Tweet,jaysonbennett79,93,562,5,3950,,,,jaysonbennett79,1084744,248,6336,31051,,,
2687,Tweet,lucasfelipe_73,2779,3004,35,73833,,,,lucasfelipe_73,1084744,248,6336,31051,,,
2688,RT,pcampo144,40,381,1,2518,,,,80sFootballCard,12410,68,91,12124,,,
2689,RT,SpencerKramer9,9,141,0,2742,,,,Bengals,1084744,248,6336,31051,,,
2690,RT,GlaziarGambol,48,178,1,10133,,,,GlaziarGambol,48,178,1,10133,,,
2691,Tweet,MMBSports,422,1684,7,60013,,,,MMBSports,48,178,1,10133,,,
2692,RT,saso27519900,168,121,0,8657,,,,KreeptoKiid,1147,3754,2,4586,,,
2693,RT,DaveyCrockett_,175,1009,2,1749,,,,SuperlativeDAO,1436,81,0,163,,,
2694,RT,Astroterras,1539,2093,14,23935,,,,husamelzien,45,12,0,758,,,
2695,Tweet,KKinnett,1548,856,80,125614,,,,KKinnett,45,12,0,758,,,
2696,RT,JordanBlack93,204,198,2,7907,,,,MikeHilton_28,67786,1111,230,9176,,,
2697,Tweet,dolofleee,301,905,1,2810,,,,dolofleee,67786,1111,230,9176,,,
2698,Tweet,meltz00,888,231,39,80404,,,,meltz00,67786,1111,230,9176,,,
2699,RT,lewisroche,327,2574,10,89245,,,,WUTangKids,98482,943,291,6933,,,
2700,Tweet,953WDAE,25412,8024,611,392586,,,,953WDAE,98482,943,291,6933,,,
2701,RT,steven_fink,100,99,9,20047,,,,Rhino_Records,111365,1659,1383,23280,,,
2702,RT,poyer1023,646,1664,7,20841,,,,DraftKings,341618,1943,2012,90862,,,
2703,RT,3lond3_3arbie,186,189,0,1381,,,,crypto_brewer,1881,4704,8,5259,,,
2704,RT,CJtheFineArtist,6808,5644,315,71250,,,,ohthatguy_theo,750,1212,29,6303,,,
2705,Tweet,lilcheesehead12,1488,4269,6,14054,,,,lilcheesehead12,750,1212,29,6303,,,
2706,RT,BjHerald,114,454,0,424,,,,WINCINNATI_,2619,980,5,215,,,
2707,RT,thtllr,193,167,5,12521,,,,NFLFrance,20866,200,100,21659,,,
2708,RT,Phil_Sports,7921,1603,113,68473,,,,adamsantarossa,1764,2706,46,22187,,,
2709,RT,AleGalvan13,66,245,2,8855,,,,RamsNFL,1060486,512,6389,59603,,,
2710,RT,Tdouble0N,2720,2729,13,7158,,,,HPPRSNFT,7955,39,28,6211,,,
2711,Tweet,carlosgarod,686,693,14,16283,,,,carlosgarod,7955,39,28,6211,,,
2712,RT,koosamagoopaloo,115,386,2,8686,,,,RamsNFL,1060486,512,6389,59603,,,
2713,Tweet,KRexButts,1169,618,32,22250,,,,KRexButts,1060486,512,6389,59603,,,
2714,Tweet,pepenarduchi,1092,860,1,27312,,,,pepenarduchi,1060486,512,6389,59603,,,
2715,RT,suhuyanli,31,282,0,754,,,,SuperlativeDAO,1436,81,0,163,,,
2716,Tweet,ChefsSunday,175,522,2,536,,,,ChefsSunday,1436,81,0,163,,,
2717,Tweet,TickPick,74830,1760,74,18665,,,,TickPick,1436,81,0,163,,,
2718,RT,sophiesalibi,1250,2445,14,7556,,,,reneeygraham,16954,2171,272,20278,,,
2719,Tweet,tthrasher23,960,1143,3,11189,,,,tthrasher23,16954,2171,272,20278,,,
2720,RT,poyer1023,646,1664,7,20841,,,,RamsNFL,1060486,512,6389,59603,,,
2721,RT,capt_morgan00,1324,986,9,2250,,,,mmers7,514,644,5,12863,,,
2722,Tweet,lakeshowtime21,2862,2841,8,14874,,,,lakeshowtime21,514,644,5,12863,,,
2723,RT,HandleThis45,274,570,2,3772,,,,DallasDietzenba,4293,3564,69,270046,,,
2724,Tweet,adamsantarossa,1764,2706,46,22187,,,,adamsantarossa,4293,3564,69,270046,,,
2725,Tweet,DrStovpipeJones,153,743,1,21450,,,,DrStovpipeJones,4293,3564,69,270046,,,
2726,RT,ramscarioca,992,503,3,3145,,,,RamsNFL,1060486,512,6389,59603,,,
2727,RT,CincyFanZone,2118,1329,95,182697,,,,LSUfootball,873902,583,2264,28236,,,
2728,RT,levinecorey70,240,1459,0,10440,,,,SNFonNBC,993037,2480,5415,79758,,,
2729,RT,lm_nft,377,2222,3,5463,,,,SuperlativeDAO,1436,81,0,163,,,
2730,Tweet,KyBobbieL,187,591,0,18308,,,,KyBobbieL,1436,81,0,163,,,
2731,RT,Ty_Grieve28,318,3196,0,47517,,,,ronNcaphill,1206,3017,21,112049,,,
2732,RT,jsimms1119,52810,1018,240,18614,,,,ronNcaphill,1206,3017,21,112049,,,
2733,Tweet,KeithBanks85,369,690,9,18668,,,,KeithBanks85,1206,3017,21,112049,,,
2734,RT,dresfresh84,57,224,0,858,,,,Bengals,1084744,248,6336,31051,,,
2735,Tweet,HitBerbel,269,944,2,4928,,,,HitBerbel,1084744,248,6336,31051,,,
2736,RT,LouatTheState,24654,8116,198,398349,,,,TCNews62,2972,3,3,1116,,,
2737,RT,levinecorey70,240,1459,0,10440,,,,RamsNFL,1060486,512,6389,59603,,,
2738,RT,MarksWithMics,2589,4043,11,27098,,,,CageIq,2857,4842,5,1513,,,
2739,RT,BenjiKotzin,44,177,0,156,,,,WINCINNATI_,2619,980,5,215,,,
2740,RT,TweetsByGags,659,326,6,41391,,,,FamDividedPod,820,592,4,11049,,,
2741,Tweet,AntyyBaayyyBeee,239,440,2,5227,,,,AntyyBaayyyBeee,820,592,4,11049,,,
2742,RT,levinecorey70,240,1459,0,10440,,,,RamsNFL,1060486,512,6389,59603,,,
2743,RT,LeopoldoGonz04,36,597,0,10760,,,,RamsNFL,1060486,512,6389,59603,,,
2744,RT,LoveItMane__,585,1048,2,2597,,,,HPPRSNFT,7955,39,28,6211,,,
2745,RT,_OTSN,794,604,2,5409,,,,FamDividedPod,820,592,4,11049,,,
2746,RT,Nari4c,73,287,6,9197,,,,Baron3121,9156,924,85,60931,,,
2747,RT,Madonna86049046,1527,692,7,75775,,,,victorg67867500,232,407,0,2117,,,
2748,Tweet,MMBSports,422,1684,7,60013,,,,MMBSports,232,407,0,2117,,,
2749,RT,TheRealMTV93,217,662,0,9601,,,,MikeHilton_28,67786,1111,230,9176,,,
2750,Tweet,uvulibrary,1050,72,32,6337,,,,uvulibrary,67786,1111,230,9176,,,
2751,RT,ShoeboxAtlanta,33,36,0,486,,,,raps_mary,139,439,1,333,,,
2752,RT,ShoeboxAtlanta,33,36,0,486,,,,Bengals,1084744,248,6336,31051,,,
2753,Tweet,FamDividedPod,820,592,4,11049,,,,FamDividedPod,1084744,248,6336,31051,,,
2754,RT,ShoeboxAtlanta,33,36,0,486,,,,RamsNFL,1060486,512,6389,59603,,,
2755,Tweet,MMBSports,422,1684,7,60013,,,,MMBSports,1060486,512,6389,59603,,,
2756,Tweet,Sportsoddsdige1,320,870,9,1569,,,,Sportsoddsdige1,1060486,512,6389,59603,,,
2757,Tweet,bernardlolo35,117,2239,35,45843,,,,bernardlolo35,1060486,512,6389,59603,,,
2758,RT,levinecorey70,240,1459,0,10440,,,,veronicaxxxooo,838,680,13,9785,,,
2759,Tweet,MMBSports,422,1684,7,60013,,,,MMBSports,838,680,13,9785,,,
2760,RT,Craftville,6091,5,37,180044,,,,raz45,184,854,10,984,,,
2761,Tweet,MMBSports,422,1684,7,60013,,,,MMBSports,184,854,10,984,,,
2762,RT,Natts_Lopez,1367,5003,53,172281,,,,SNFonNBC,993037,2480,5415,79758,,,
2763,Tweet,RealTomHoskins,1065,378,67,211840,,,,RealTomHoskins,993037,2480,5415,79758,,,
2764,RT,TraskTrask500,394,1698,1,55302,,,,SNFonNBC,993037,2480,5415,79758,,,
2765,RT,plantdaddy1987,62,201,1,1257,,,,TFatbeard,208,285,0,2238,,,
2766,Tweet,raz45,184,854,10,984,,,,raz45,208,285,0,2238,,,
2767,RT,checkman1955,162,509,2,18377,,,,KreeptoKiid,1147,3754,2,4586,,,
2768,RT,Baron3121,9156,924,85,60931,,,,husamelzien,45,12,0,758,,,
2769,RT,TedShelton9,238,453,2,43443,,,,LSUfootball,873902,583,2264,28236,,,
2770,Tweet,ethier_frank,1675,1724,7,73932,,,,ethier_frank,873902,583,2264,28236,,,
2771,RT,ShoeboxAtlanta,33,36,0,486,,,,Bengals,1084744,248,6336,31051,,,
2772,Tweet,beaugbowden,1075,2932,51,57125,,,,beaugbowden,1084744,248,6336,31051,,,
2773,RT,powitz,1545,4953,43,20891,,,,ACPress_Russo,3150,2027,44,25724,,,
2774,RT,Tribal_Chief18,3832,3905,7,66765,,,,CincyProblems,139987,47989,186,24537,,,
2775,RT,Canaan1723,401,501,5,27574,,,,WUTangKids,98482,943,291,6933,,,
2776,RT,contreras1914,120,379,0,1843,,,,TFatbeard,208,285,0,2238,,,
2777,RT,joshua_kacik,475,3138,0,30780,,,,Bengals,1084744,248,6336,31051,,,
2778,Tweet,LoneStranger655,17,110,0,1359,,,,LoneStranger655,1084744,248,6336,31051,,,
2779,Tweet,quantia_io,1722,861,6,487,,,,quantia_io,1084744,248,6336,31051,,,
2780,RT,matsuhisajapan,1044,1345,14,79245,,,,CaesarsPalace,291018,39951,3005,32479,,,
2781,RT,girochasl,2043,1259,2,66877,,,,RamsNFL,1060486,512,6389,59603,,,
2782,RT,suilo_27,339,1427,1,35176,,,,RamsNFL,1060486,512,6389,59603,,,
2783,RT,poyer1023,646,1664,7,20841,,,,RamsNFL,1060486,512,6389,59603,,,
2784,Tweet,_FrdGrn,356,1981,1,811,,,,_FrdGrn,1060486,512,6389,59603,,,
2785,RT,deloreshandy,3087,3363,136,90093,,,,reneeygraham,16954,2171,272,20278,,,
2786,Tweet,OddsShark,145395,678,1544,84541,,,,OddsShark,16954,2171,272,20278,,,
2787,RT,ShoeboxAtlanta,33,36,0,486,,,,CincyProblems,139987,47989,186,24537,,,
2788,Tweet,seangausman2,96,676,0,1665,,,,seangausman2,139987,47989,186,24537,,,
2789,RT,billybands,1051,1369,14,390378,,,,SNFonNBC,993037,2480,5415,79758,,,
2790,Tweet,Heather47585325,53,213,3,612,,,,Heather47585325,993037,2480,5415,79758,,,
2791,Tweet,DonBiz07,28,152,0,364,,,,DonBiz07,993037,2480,5415,79758,,,
